Name,Garment_Name,Experience_Years,Job_Role,Working_Hours_Per_Week,Exposure_To_Chemicals,Machine_Use,Workstation_Ergonomics,Injury_History,Health_Condition,Safety_Training,Shift_Type,Task_Rotation_Frequency,Job_Risk
Fariha Khan,Pallmall Group,24,Ironing,58,Low,None,Poor,1,Healthy,None,Day,Rare,High
Fariha Khan,Pallmall Group,0,Supervisor,38,None,Light,Poor,1,Healthy,Advanced,Night,Occasional,Medium
Rasel Hossain,Pallmall Group,14,Ironing,34,Low,Light,Poor,0,Healthy,None,Night,Occasional,Medium
Abdul Latif,Pallmall Group,8,Ironing,29,None,Light,Average,0,Healthy,Advanced,Day,Occasional,Low
Nazia Sultana,Pallmall Group,14,Supervisor,33,Medium,Light,Average,1,Minor_Chronic,Advanced,Day,Rare,Low
Abdul Latif,Pallmall Group,23,Sewing,68,High,Light,Average,0,Minor_Chronic,Basic,Evening,Occasional,Low
Taslima Akter,Pallmall Group,3,Machine_Maintenance,59,None,Light,Average,3,Healthy,Basic,Night,Rare,High
Shamina Begum,Pallmall Group,11,Sewing,47,None,None,Average,0,Healthy,Basic,Day,Occasional,Low
Nazia Sultana,Pallmall Group,36,Cutting,61,None,Heavy,Poor,0,Healthy,Advanced,Day,Rare,High
Nazia Sultana,Pallmall Group,36,Sewing,43,None,None,Average,0,Healthy,Basic,Evening,Occasional,Low
Shahidul Islam,Pallmall Group,5,Packaging,52,Medium,Heavy,Poor,0,Serious_Chronic,Advanced,Evening,Occasional,High
Nazia Sultana,Pallmall Group,38,Dyeing,39,None,Heavy,Poor,1,Healthy,None,Day,Occasional,High
Taslima Akter,Pallmall Group,23,Packaging,34,None,Light,Good,1,Healthy,None,Day,Occasional,Low
Mariam Noor,Pallmall Group,10,Cutting,66,Medium,Heavy,Good,0,Minor_Chronic,Basic,Night,Rare,High
Shahidul Islam,Pallmall Group,12,Cutting,44,Medium,Heavy,Good,1,Healthy,None,Evening,Rare,High
Rasel Hossain,Pallmall Group,33,Sewing,38,Low,Heavy,Average,3,Minor_Chronic,Basic,Night,Occasional,High
Shamina Begum,Pallmall Group,24,Cutting,33,Low,Light,Average,1,Minor_Chronic,None,Night,Frequent,Medium
Mushfiqur Rahman,Pallmall Group,6,Machine_Maintenance,50,Low,Light,Average,1,Minor_Chronic,Advanced,Night,Occasional,Medium
Abdul Latif,Pallmall Group,3,Cutting,54,High,Heavy,Average,0,Healthy,Advanced,Night,Occasional,High
Nazia Sultana,Pallmall Group,7,Packaging,33,Low,Light,Average,1,Healthy,Basic,Night,Frequent,Low
Fariha Khan,Pallmall Group,19,Packaging,65,Low,Light,Average,1,Healthy,Basic,Evening,Frequent,Medium
Taslima Akter,Pallmall Group,28,Cutting,29,None,Light,Average,2,Healthy,Basic,Evening,Occasional,Low
Mariam Noor,Pallmall Group,9,Dyeing,49,None,Light,Average,1,Healthy,Basic,Evening,Occasional,Low
Shahidul Islam,Pallmall Group,33,Sewing,47,Low,Light,Average,1,Healthy,Basic,Evening,Frequent,Low
Taslima Akter,Pallmall Group,25,Sewing,52,High,Light,Average,1,Healthy,None,Day,Frequent,Medium
Shamina Begum,Pallmall Group,40,Sewing,42,Medium,Heavy,Average,0,Healthy,Basic,Day,Occasional,Medium
Taslima Akter,Pallmall Group,2,Dyeing,56,High,None,Poor,0,Minor_Chronic,Basic,Day,Occasional,High
Rahim Ahmed,Pallmall Group,5,Cutting,35,Low,Heavy,Good,1,Healthy,Advanced,Day,Occasional,Medium
Shahidul Islam,Pallmall Group,4,Ironing,64,Medium,Heavy,Poor,0,Healthy,Advanced,Day,Occasional,High
Fariha Khan,Pallmall Group,4,Ironing,60,Medium,None,Average,1,Healthy,Basic,Night,Frequent,Medium
Nazia Sultana,Pallmall Group,22,Cutting,49,Low,Light,Poor,0,Minor_Chronic,Basic,Day,Occasional,Low
Nazia Sultana,Pallmall Group,8,Packaging,32,None,Heavy,Good,1,Healthy,Advanced,Day,Rare,Medium
Rahim Ahmed,Pallmall Group,34,Packaging,66,None,Light,Average,0,Healthy,None,Evening,Rare,Medium
Rahim Ahmed,Pallmall Group,19,Sewing,45,Medium,Heavy,Average,0,Healthy,Basic,Day,Frequent,Low
Shamina Begum,Pallmall Group,34,Sewing,65,None,Light,Good,2,Healthy,Basic,Night,Occasional,Medium
Fariha Khan,Pallmall Group,17,Packaging,64,Medium,Light,Average,0,Minor_Chronic,Basic,Day,Occasional,Medium
Shahidul Islam,Pallmall Group,16,Cutting,57,None,None,Poor,0,Minor_Chronic,Basic,Day,Rare,Medium
Abdul Latif,Pallmall Group,23,Dyeing,58,Low,Light,Poor,1,Healthy,Advanced,Night,Occasional,High
Shahidul Islam,Pallmall Group,2,Cutting,37,Low,None,Average,3,Healthy,Basic,Evening,Rare,Medium
Mariam Noor,Pallmall Group,31,Cutting,42,Low,Light,Average,0,Healthy,Advanced,Night,Occasional,Low
Shamina Begum,Pallmall Group,34,Sewing,45,None,Heavy,Poor,1,Serious_Chronic,Basic,Day,Occasional,High
Shahidul Islam,Pallmall Group,37,Sewing,50,High,Light,Poor,0,Healthy,Basic,Day,Occasional,Medium
Rahim Ahmed,Pallmall Group,12,Dyeing,60,Low,Heavy,Poor,0,Minor_Chronic,Advanced,Day,Frequent,High
Shamina Begum,Pallmall Group,24,Cutting,43,None,Light,Average,0,Healthy,Advanced,Day,Rare,Low
Taslima Akter,Pallmall Group,8,Packaging,65,Low,Heavy,Poor,1,Minor_Chronic,Basic,Day,Rare,High
Nazia Sultana,Pallmall Group,3,Packaging,62,None,Light,Poor,0,Serious_Chronic,Basic,Day,Rare,High
Shahidul Islam,Pallmall Group,13,Ironing,61,None,Heavy,Average,1,Healthy,None,Night,Rare,High
Shahidul Islam,Pallmall Group,36,Packaging,55,None,Light,Average,1,Serious_Chronic,Basic,Evening,Rare,Low
Rahim Ahmed,Pallmall Group,33,Cutting,29,Medium,None,Average,2,Minor_Chronic,Basic,Day,Occasional,Medium
Rahim Ahmed,Pallmall Group,10,Cutting,57,Low,Heavy,Average,1,Healthy,Basic,Day,Occasional,High
Shamina Begum,Pallmall Group,40,Packaging,40,Low,Light,Average,0,Minor_Chronic,Basic,Night,Frequent,Low
Fariha Khan,Pallmall Group,2,Cutting,68,None,None,Average,1,Minor_Chronic,Basic,Day,Rare,Medium
Taslima Akter,Pallmall Group,27,Dyeing,43,None,Light,Good,0,Minor_Chronic,Basic,Day,Occasional,Low
Abdul Latif,Pallmall Group,28,Sewing,32,High,Heavy,Poor,0,Healthy,None,Day,Frequent,High
Abdul Latif,Pallmall Group,8,Dyeing,55,Low,Light,Average,1,Healthy,Basic,Evening,Rare,Medium
Nazia Sultana,Pallmall Group,2,Packaging,66,High,Light,Average,0,Healthy,Advanced,Day,Occasional,Medium
Nazia Sultana,Pallmall Group,24,Packaging,47,None,Heavy,Poor,2,Minor_Chronic,Advanced,Night,Occasional,High
Shahidul Islam,Pallmall Group,33,Packaging,51,None,Heavy,Average,1,Serious_Chronic,Basic,Day,Occasional,Medium
Nazia Sultana,Pallmall Group,11,Packaging,54,Medium,Light,Poor,1,Healthy,None,Day,Occasional,Medium
Shamina Begum,Pallmall Group,8,Ironing,57,Low,None,Average,0,Healthy,Basic,Day,Rare,Medium
Taslima Akter,Pallmall Group,14,Dyeing,54,None,Light,Average,1,Minor_Chronic,Advanced,Day,Occasional,Low
Nazia Sultana,Pallmall Group,39,Sewing,53,None,Heavy,Poor,0,Healthy,Basic,Day,Occasional,Medium
Mushfiqur Rahman,Pallmall Group,24,Cutting,34,Medium,Heavy,Average,1,Healthy,Basic,Night,Rare,High
Nazia Sultana,Pallmall Group,4,Ironing,65,None,Light,Average,1,Healthy,Advanced,Day,Frequent,Medium
Shamina Begum,Pallmall Group,10,Supervisor,32,Low,Light,Average,0,Healthy,Basic,Night,Occasional,Low
Rahim Ahmed,Pallmall Group,33,Cutting,50,None,None,Average,1,Healthy,Basic,Day,Occasional,Low
Rahim Ahmed,Pallmall Group,23,Ironing,55,None,Light,Poor,0,Healthy,Basic,Day,Frequent,Low
Mariam Noor,Pallmall Group,14,Ironing,61,High,None,Average,0,Healthy,Basic,Day,Occasional,Medium
Mariam Noor,Pallmall Group,37,Dyeing,42,None,None,Good,1,Minor_Chronic,Basic,Day,Rare,Low
Mariam Noor,Pallmall Group,7,Packaging,59,Low,None,Poor,0,Healthy,Advanced,Evening,Occasional,Medium
Mushfiqur Rahman,Pallmall Group,4,Sewing,53,Medium,Light,Average,0,Healthy,Basic,Night,Occasional,Medium
Shahidul Islam,Pallmall Group,25,Ironing,58,None,Light,Average,0,Healthy,Basic,Evening,Occasional,Low
Rahim Ahmed,Pallmall Group,17,Packaging,46,None,Light,Average,0,Healthy,Basic,Day,Frequent,Low
Rasel Hossain,Pallmall Group,5,Ironing,36,Low,Heavy,Poor,2,Healthy,Advanced,Day,Rare,High
Abdul Latif,Pallmall Group,36,Sewing,56,None,Light,Average,0,Healthy,Advanced,Night,Rare,Low
Nazia Sultana,Pallmall Group,12,Dyeing,66,None,Light,Average,1,Healthy,None,Night,Occasional,High
Nazia Sultana,Pallmall Group,27,Packaging,31,None,Heavy,Good,0,Healthy,Basic,Day,Occasional,Low
Abdul Latif,Pallmall Group,4,Sewing,30,Low,Light,Poor,2,Healthy,Basic,Day,Rare,High
Fariha Khan,Pallmall Group,12,Packaging,56,Low,Light,Good,0,Healthy,Basic,Evening,Frequent,Low
Mushfiqur Rahman,Pallmall Group,16,Packaging,38,Low,None,Average,0,Healthy,Basic,Evening,Rare,Low
Nazia Sultana,Pallmall Group,39,Ironing,60,None,Heavy,Poor,0,Healthy,Basic,Day,Rare,High
Shamina Begum,Pallmall Group,31,Supervisor,65,Low,Light,Average,1,Healthy,Advanced,Day,Frequent,Low
Abdul Latif,Pallmall Group,28,Packaging,38,High,Heavy,Average,1,Healthy,Basic,Night,Occasional,High
Nazia Sultana,Pallmall Group,2,Packaging,54,Low,Light,Poor,0,Serious_Chronic,Basic,Day,Frequent,Medium
Nazia Sultana,Pallmall Group,39,Packaging,60,Low,Light,Average,0,Healthy,Basic,Day,Rare,Low
Taslima Akter,Pallmall Group,33,Sewing,48,Low,Heavy,Good,1,Healthy,Basic,Day,Rare,Medium
Rahim Ahmed,Pallmall Group,39,Sewing,66,Medium,Heavy,Good,0,Minor_Chronic,Basic,Day,Occasional,Medium
Shamina Begum,Pallmall Group,26,Ironing,58,Medium,None,Average,0,Healthy,None,Night,Frequent,Medium
Taslima Akter,Pallmall Group,12,Sewing,65,None,Heavy,Poor,1,Healthy,Basic,Evening,Occasional,High
Nazia Sultana,Pallmall Group,32,Cutting,29,None,Light,Average,0,Healthy,Advanced,Night,Rare,Low
Abdul Latif,Pallmall Group,5,Machine_Maintenance,54,None,Light,Average,0,Healthy,Advanced,Day,Occasional,Low
Rasel Hossain,Pallmall Group,23,Packaging,63,None,Light,Poor,0,Healthy,Basic,Night,Rare,High
Mariam Noor,Pallmall Group,18,Dyeing,38,None,Light,Good,1,Healthy,Basic,Day,Frequent,Low
Nazia Sultana,Pallmall Group,15,Packaging,45,Medium,Light,Poor,3,Minor_Chronic,Basic,Day,Rare,High
Taslima Akter,Pallmall Group,39,Packaging,28,None,Light,Average,0,Healthy,Basic,Night,Frequent,Low
Taslima Akter,Pallmall Group,27,Cutting,62,Low,None,Average,0,Healthy,Basic,Day,Occasional,Medium
Shahidul Islam,Pallmall Group,32,Sewing,62,Low,None,Average,0,Healthy,Basic,Day,Occasional,Medium
Taslima Akter,Pallmall Group,40,Ironing,58,None,Heavy,Poor,2,Healthy,Basic,Day,Occasional,High
Rahim Ahmed,Pallmall Group,12,Packaging,55,Medium,Heavy,Average,0,Healthy,Advanced,Day,Rare,Medium
Fariha Khan,Pallmall Group,24,Cutting,66,Medium,Heavy,Good,0,Minor_Chronic,Basic,Day,Frequent,High
Taslima Akter,Pallmall Group,35,Dyeing,28,None,Light,Average,0,Minor_Chronic,Advanced,Evening,Rare,Low
Fariha Khan,Pallmall Group,26,Sewing,52,None,Light,Average,1,Minor_Chronic,Basic,Day,Occasional,Low
Mushfiqur Rahman,Pallmall Group,37,Packaging,65,None,Heavy,Poor,0,Healthy,Advanced,Day,Occasional,Medium
Nazia Sultana,Pallmall Group,6,Packaging,47,Low,Heavy,Good,0,Serious_Chronic,None,Evening,Frequent,High
Taslima Akter,Pallmall Group,4,Packaging,30,None,Light,Good,3,Healthy,Advanced,Day,Rare,Medium
Fariha Khan,Pallmall Group,30,Supervisor,29,Low,Heavy,Average,0,Healthy,Basic,Evening,Occasional,Low
Mariam Noor,Pallmall Group,22,Packaging,45,Medium,Heavy,Average,0,Healthy,Basic,Night,Occasional,Medium
Taslima Akter,Pallmall Group,9,Machine_Maintenance,37,None,Heavy,Good,0,Minor_Chronic,None,Day,Rare,High
Abdul Latif,Pallmall Group,31,Machine_Maintenance,32,Medium,Light,Poor,1,Healthy,None,Evening,Rare,High
Rasel Hossain,Pallmall Group,29,Packaging,36,None,None,Average,0,Healthy,Basic,Day,Occasional,Low
Shahidul Islam,Pallmall Group,38,Packaging,29,Medium,Light,Average,0,Minor_Chronic,Basic,Evening,Rare,Low
Abdul Latif,Pallmall Group,30,Sewing,61,None,Light,Average,1,Healthy,Basic,Day,Occasional,Low
Rasel Hossain,Pallmall Group,17,Ironing,65,Low,Light,Good,1,Healthy,Basic,Day,Occasional,Medium
Shahidul Islam,Pallmall Group,35,Dyeing,58,None,Light,Average,0,Healthy,Basic,Day,Frequent,Low
Shamina Begum,Pallmall Group,1,Cutting,37,Medium,Heavy,Poor,0,Healthy,Advanced,Evening,Occasional,High
Mushfiqur Rahman,Pallmall Group,13,Cutting,39,Low,Light,Average,1,Healthy,Advanced,Day,Occasional,Low
Mushfiqur Rahman,Pallmall Group,12,Supervisor,63,None,Light,Average,0,Healthy,Basic,Day,Rare,Low
Abdul Latif,Pallmall Group,28,Machine_Maintenance,48,Low,Light,Average,1,Healthy,Basic,Night,Occasional,Medium
Rasel Hossain,Pallmall Group,11,Packaging,33,None,Light,Average,0,Minor_Chronic,Advanced,Day,Frequent,Low
Rahim Ahmed,Pallmall Group,38,Cutting,30,Low,Heavy,Poor,1,Serious_Chronic,Advanced,Evening,Rare,High
Abdul Latif,Pallmall Group,1,Sewing,37,Medium,None,Average,0,Serious_Chronic,None,Day,Occasional,High
Shahidul Islam,Pallmall Group,31,Sewing,32,None,Heavy,Good,2,Healthy,Advanced,Night,Occasional,Medium
Taslima Akter,Pallmall Group,12,Cutting,53,None,Light,Good,1,Healthy,Basic,Day,Occasional,Low
Fariha Khan,Pallmall Group,26,Sewing,48,None,None,Good,0,Healthy,Basic,Day,Occasional,Low
Rasel Hossain,Pallmall Group,40,Sewing,53,Low,Heavy,Average,0,Minor_Chronic,Basic,Evening,Rare,Medium
Nazia Sultana,Pallmall Group,16,Machine_Maintenance,65,None,Light,Poor,1,Serious_Chronic,Basic,Night,Occasional,High
Abdul Latif,Pallmall Group,39,Packaging,53,None,Light,Good,0,Minor_Chronic,Basic,Night,Rare,Low
Rasel Hossain,Pallmall Group,30,Cutting,35,None,Light,Average,3,Healthy,Basic,Day,Occasional,Low
Rasel Hossain,Pallmall Group,33,Sewing,32,None,Light,Average,0,Healthy,Basic,Night,Occasional,Low
Taslima Akter,Pallmall Group,23,Ironing,42,High,Light,Average,1,Minor_Chronic,Basic,Evening,Frequent,Low
Shamina Begum,Pallmall Group,34,Sewing,43,None,Heavy,Good,0,Healthy,Basic,Night,Rare,Low
Taslima Akter,Pallmall Group,5,Machine_Maintenance,28,Low,None,Average,1,Healthy,None,Night,Occasional,High
Rahim Ahmed,Pallmall Group,18,Cutting,43,Medium,Heavy,Poor,3,Minor_Chronic,None,Day,Occasional,High
Nazia Sultana,Pallmall Group,29,Cutting,64,Low,Light,Average,1,Healthy,Basic,Evening,Rare,Medium
Abdul Latif,Pallmall Group,6,Cutting,30,None,Light,Poor,1,Healthy,Advanced,Evening,Occasional,Medium
Shahidul Islam,Pallmall Group,9,Sewing,58,Low,None,Good,0,Healthy,Advanced,Evening,Rare,Medium
Mariam Noor,Pallmall Group,40,Dyeing,40,Medium,Light,Average,1,Healthy,Basic,Day,Rare,Medium
Fariha Khan,Pallmall Group,31,Packaging,43,None,Light,Average,1,Healthy,Basic,Day,Rare,Low
Rahim Ahmed,Pallmall Group,33,Packaging,48,None,None,Good,0,Healthy,Basic,Day,Rare,Low
Mushfiqur Rahman,Pallmall Group,27,Sewing,29,None,Light,Average,1,Minor_Chronic,Advanced,Night,Frequent,Low
Abdul Latif,Pallmall Group,14,Dyeing,54,None,Heavy,Average,1,Healthy,Basic,Day,Rare,Medium
Taslima Akter,Pallmall Group,29,Ironing,65,None,None,Average,0,Healthy,Basic,Day,Frequent,Low
Taslima Akter,Pallmall Group,36,Packaging,53,Low,Heavy,Average,0,Healthy,Basic,Day,Occasional,Low
Mushfiqur Rahman,Pallmall Group,28,Cutting,65,None,Light,Good,1,Healthy,Advanced,Evening,Occasional,Medium
Nazia Sultana,Pallmall Group,21,Cutting,52,Low,Light,Average,1,Healthy,None,Night,Occasional,Medium
Rasel Hossain,Pallmall Group,3,Dyeing,38,Low,Light,Good,1,Minor_Chronic,Basic,Evening,Frequent,Medium
Rasel Hossain,Pallmall Group,19,Dyeing,35,None,None,Poor,0,Healthy,Basic,Day,Occasional,Low
Taslima Akter,Pallmall Group,31,Ironing,35,Low,Heavy,Poor,0,Healthy,Basic,Night,Frequent,Medium
Shahidul Islam,Pallmall Group,35,Cutting,60,None,None,Poor,1,Minor_Chronic,None,Day,Occasional,Medium
Mushfiqur Rahman,Pallmall Group,3,Ironing,34,High,Light,Average,2,Healthy,Basic,Night,Rare,High
Shamina Begum,Pallmall Group,26,Packaging,65,None,Light,Poor,1,Healthy,Basic,Day,Frequent,Medium
Mushfiqur Rahman,Pallmall Group,16,Ironing,48,Low,Light,Poor,0,Healthy,Advanced,Evening,Frequent,Low
Abdul Latif,Pallmall Group,11,Machine_Maintenance,35,Medium,Light,Average,1,Healthy,Basic,Day,Rare,Medium
Nazia Sultana,Pallmall Group,21,Ironing,48,None,Heavy,Average,0,Healthy,Basic,Night,Frequent,Medium
Mariam Noor,Pallmall Group,16,Machine_Maintenance,47,None,Light,Average,1,Healthy,Advanced,Day,Occasional,Low
Nazia Sultana,Pallmall Group,9,Packaging,35,Low,Heavy,Average,2,Healthy,Basic,Day,Frequent,Medium
Taslima Akter,Pallmall Group,0,Cutting,58,None,Heavy,Average,1,Serious_Chronic,Advanced,Night,Frequent,High
Abdul Latif,Pallmall Group,21,Packaging,56,Medium,Light,Average,1,Healthy,Advanced,Day,Frequent,Low
Shahidul Islam,Pallmall Group,25,Sewing,36,High,Light,Good,3,Healthy,None,Evening,Frequent,High
Taslima Akter,Pallmall Group,17,Machine_Maintenance,42,None,Light,Average,2,Healthy,Basic,Evening,Rare,Medium
Nazia Sultana,Pallmall Group,13,Dyeing,57,None,Light,Average,0,Healthy,Basic,Evening,Rare,Low
Abdul Latif,Pallmall Group,28,Sewing,53,None,Light,Average,1,Healthy,Advanced,Day,Rare,Low
Shahidul Islam,Pallmall Group,11,Dyeing,37,None,Heavy,Poor,0,Healthy,Basic,Night,Rare,High
Rasel Hossain,Pallmall Group,35,Supervisor,56,Medium,Light,Good,1,Minor_Chronic,None,Night,Occasional,Medium
Taslima Akter,Pallmall Group,34,Sewing,43,Medium,Light,Poor,0,Minor_Chronic,Basic,Day,Occasional,Medium
Shamina Begum,Pallmall Group,11,Ironing,63,None,Light,Good,1,Healthy,Advanced,Day,Occasional,Medium
Nazia Sultana,Pallmall Group,6,Packaging,47,None,Light,Average,0,Minor_Chronic,Advanced,Day,Occasional,Low
Rasel Hossain,Pallmall Group,28,Packaging,64,None,Heavy,Good,0,Healthy,Advanced,Day,Frequent,Medium
Mariam Noor,Pallmall Group,10,Cutting,49,None,Light,Average,1,Healthy,Basic,Day,Occasional,Low
Shahidul Islam,Pallmall Group,32,Sewing,34,Medium,None,Average,0,Serious_Chronic,Basic,Night,Occasional,Medium
Shahidul Islam,Pallmall Group,5,Sewing,50,None,None,Average,1,Minor_Chronic,Basic,Evening,Rare,Low
Mushfiqur Rahman,Pallmall Group,14,Dyeing,68,Medium,Heavy,Average,3,Healthy,Basic,Evening,Rare,High
Rahim Ahmed,Pallmall Group,31,Ironing,67,Low,Light,Average,0,Healthy,None,Day,Occasional,Medium
Shamina Begum,Pallmall Group,10,Machine_Maintenance,56,Low,Heavy,Average,1,Healthy,Basic,Day,Occasional,High
Shamina Begum,Pallmall Group,22,Sewing,43,None,None,Average,0,Healthy,Basic,Evening,Occasional,Low
Shamina Begum,Pallmall Group,25,Packaging,65,Low,Light,Average,0,Minor_Chronic,Advanced,Evening,Occasional,Low
Shamina Begum,Pallmall Group,33,Sewing,55,Low,Light,Poor,0,Healthy,None,Evening,Rare,Low
Rasel Hossain,Pallmall Group,33,Sewing,65,Medium,Light,Good,2,Healthy,Advanced,Day,Rare,High
Nazia Sultana,Pallmall Group,28,Ironing,58,None,Light,Average,0,Healthy,Basic,Evening,Occasional,Low
Nazia Sultana,Pallmall Group,3,Ironing,41,None,None,Average,1,Healthy,Basic,Day,Rare,Low
Shahidul Islam,Pallmall Group,16,Packaging,60,Low,Light,Good,1,Minor_Chronic,Basic,Day,Occasional,Low
Fariha Khan,Pallmall Group,34,Machine_Maintenance,36,None,Light,Average,2,Minor_Chronic,Basic,Evening,Frequent,Medium
Mushfiqur Rahman,Pallmall Group,12,Dyeing,54,None,Light,Average,0,Healthy,Basic,Day,Rare,Low
Taslima Akter,Pallmall Group,40,Supervisor,51,High,Light,Average,1,Healthy,Basic,Night,Occasional,Medium
Abdul Latif,Pallmall Group,38,Machine_Maintenance,40,None,Heavy,Good,0,Healthy,Advanced,Day,Occasional,Medium
Taslima Akter,Pallmall Group,14,Dyeing,53,None,Light,Poor,1,Healthy,Advanced,Evening,Occasional,Medium
Taslima Akter,Pallmall Group,28,Packaging,56,None,Light,Average,2,Healthy,Basic,Night,Rare,Low
Shamina Begum,Pallmall Group,28,Dyeing,55,Low,Light,Average,0,Healthy,Advanced,Day,Frequent,Low
Fariha Khan,Pallmall Group,10,Sewing,55,None,Heavy,Poor,0,Healthy,Basic,Night,Rare,High
Abdul Latif,Pallmall Group,31,Packaging,35,Low,Heavy,Poor,1,Healthy,Advanced,Evening,Occasional,Low
Abdul Latif,Pallmall Group,1,Sewing,50,None,Light,Average,0,Minor_Chronic,Basic,Night,Occasional,Low
Fariha Khan,Pallmall Group,13,Dyeing,56,None,Light,Average,1,Healthy,Advanced,Day,Rare,Low
Nazia Sultana,Pallmall Group,19,Packaging,32,Low,Heavy,Good,1,Minor_Chronic,Advanced,Day,Rare,Medium
Mariam Noor,Pallmall Group,21,Sewing,34,None,Heavy,Average,0,Healthy,Advanced,Day,Rare,Low
Mariam Noor,Pallmall Group,10,Sewing,63,High,Light,Average,0,Minor_Chronic,None,Evening,Occasional,Medium
Mariam Noor,Pallmall Group,26,Machine_Maintenance,68,None,Heavy,Poor,1,Healthy,Basic,Day,Rare,High
Nazia Sultana,Pallmall Group,2,Dyeing,54,None,Light,Average,1,Minor_Chronic,Basic,Day,Frequent,Medium
Abdul Latif,Pallmall Group,16,Sewing,29,None,Heavy,Average,0,Healthy,None,Day,Rare,Medium
Mariam Noor,Pallmall Group,27,Packaging,52,None,Light,Average,1,Serious_Chronic,Basic,Day,Frequent,Low
Mushfiqur Rahman,Pallmall Group,28,Dyeing,36,High,Light,Poor,0,Healthy,Advanced,Evening,Frequent,High
Mariam Noor,Pallmall Group,20,Ironing,54,Medium,None,Average,0,Healthy,Basic,Day,Occasional,Low
Taslima Akter,Pallmall Group,15,Supervisor,28,None,Heavy,Good,2,Healthy,Basic,Day,Occasional,Low
Rasel Hossain,Pallmall Group,36,Packaging,50,Low,Heavy,Average,0,Minor_Chronic,Basic,Day,Rare,Medium
Nazia Sultana,Pallmall Group,19,Cutting,37,Low,Light,Average,2,Minor_Chronic,None,Evening,Frequent,Medium
Mushfiqur Rahman,Pallmall Group,5,Packaging,52,None,Light,Average,1,Minor_Chronic,Basic,Night,Occasional,Low
Fariha Khan,Pallmall Group,18,Machine_Maintenance,30,None,None,Poor,0,Minor_Chronic,Basic,Evening,Frequent,Low
Rasel Hossain,Pallmall Group,4,Sewing,33,Medium,Light,Poor,0,Minor_Chronic,Basic,Day,Occasional,Medium
Taslima Akter,Pallmall Group,2,Sewing,33,High,Light,Good,0,Healthy,Advanced,Day,Frequent,Low
Fariha Khan,Pallmall Group,0,Sewing,29,High,Light,Average,0,Healthy,None,Day,Occasional,Medium
Shamina Begum,Pallmall Group,37,Packaging,45,Medium,Heavy,Average,1,Healthy,Advanced,Evening,Frequent,Medium
Abdul Latif,Pallmall Group,14,Dyeing,50,Low,None,Poor,0,Healthy,Advanced,Day,Rare,Medium
Rahim Ahmed,Pallmall Group,33,Dyeing,29,None,None,Average,0,Healthy,None,Night,Occasional,Medium
Mushfiqur Rahman,Pallmall Group,34,Machine_Maintenance,39,None,Light,Poor,2,Healthy,Advanced,Night,Occasional,High
Nazia Sultana,Pallmall Group,24,Packaging,49,None,Light,Poor,0,Healthy,Basic,Day,Occasional,Low
Nazia Sultana,Pallmall Group,23,Sewing,64,Low,Heavy,Average,0,Healthy,Basic,Day,Occasional,Medium
Taslima Akter,Pallmall Group,11,Cutting,47,Medium,Light,Average,0,Healthy,Basic,Day,Occasional,Low
Fariha Khan,Pallmall Group,17,Cutting,66,Medium,Light,Poor,0,Healthy,Basic,Day,Rare,Medium
Shamina Begum,Pallmall Group,14,Cutting,51,Medium,Light,Poor,0,Healthy,Advanced,Evening,Occasional,Medium
Mariam Noor,Pallmall Group,15,Dyeing,47,Medium,None,Average,1,Healthy,Basic,Evening,Occasional,Medium
Fariha Khan,Pallmall Group,26,Machine_Maintenance,28,High,Light,Average,0,Minor_Chronic,None,Day,Rare,High
Rasel Hossain,Pallmall Group,7,Cutting,28,None,None,Average,0,Healthy,Basic,Night,Occasional,Low
Shamina Begum,Pallmall Group,24,Ironing,44,Medium,Light,Average,1,Minor_Chronic,Basic,Evening,Rare,Low
Nazia Sultana,Pallmall Group,16,Packaging,28,Low,Light,Good,0,Healthy,Advanced,Night,Rare,Low
Rahim Ahmed,Pallmall Group,28,Cutting,57,None,None,Poor,1,Healthy,Basic,Evening,Occasional,Medium
Mushfiqur Rahman,Pallmall Group,7,Sewing,68,High,None,Poor,0,Healthy,Basic,Evening,Frequent,Medium
Taslima Akter,Pallmall Group,14,Ironing,30,Medium,Light,Average,0,Healthy,Basic,Day,Occasional,Low
Nazia Sultana,Pallmall Group,26,Sewing,38,None,Light,Poor,1,Healthy,Basic,Evening,Frequent,Low
Mariam Noor,Pallmall Group,6,Machine_Maintenance,51,None,Heavy,Average,1,Healthy,None,Day,Occasional,High
Shahidul Islam,Pallmall Group,2,Sewing,49,Low,None,Average,0,Minor_Chronic,Basic,Evening,Occasional,Low
Nazia Sultana,Pallmall Group,28,Cutting,53,Low,None,Good,1,Minor_Chronic,None,Day,Rare,Low
Taslima Akter,Pallmall Group,23,Ironing,40,High,None,Good,0,Serious_Chronic,Advanced,Day,Frequent,Medium
Mariam Noor,Pallmall Group,2,Supervisor,28,None,Light,Good,0,Serious_Chronic,Basic,Day,Occasional,Low
Nazia Sultana,Pallmall Group,19,Sewing,51,None,Light,Poor,1,Healthy,Advanced,Day,Occasional,Low
Shahidul Islam,Pallmall Group,14,Sewing,37,None,Heavy,Good,0,Healthy,Advanced,Day,Rare,Low
Taslima Akter,Pallmall Group,24,Sewing,62,None,Light,Poor,0,Healthy,Advanced,Night,Frequent,Medium
Taslima Akter,Pallmall Group,29,Sewing,51,None,Light,Average,1,Healthy,None,Day,Occasional,Low
